,album,artist,author,bitrate,bpm,composer,copyright,date,discnumber,encodedby,genre,length,media,organization,performer,title,tracknumber
124,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,83,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,222.725375,,,Www.Djleak.Com,Baby Roulette (Ft. Train),5/15
125,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,92,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,161.807825,,,Www.Djleak.Com,Guinness Flow,6/15
126,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,140,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,135.502525,,,Www.Djleak.Com,I Can't Stop (Freestyle),7/15
127,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,88,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,182.810275,,,Www.Djleak.Com,Jacuzzi (Lost In The Vapors),8/15
128,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,192000,90,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,163.48520833333333,,,Www.Djleak.Com,High As The Ceiling (Ft. Eldee The Don),9/15
129,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,90,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,189.3944,,,Www.Djleak.Com,Always (On My Grizzly) (Ft. Eldee The Don),10/15
130,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,140,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,205.773425,,,Www.Djleak.Com,You Think My Old Shit Hard? (You Ain't Seen Nothin'),11/15
131,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,124,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,218.7809,,,Www.Djleak.Com,Dancing With The Dj [Remix],12/15
132,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,90,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,194.74825,,,Www.Djleak.Com,Nobody Has It Down,13/15
133,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,85,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,220.296,,,Www.Djleak.Com,All Over (Ft. Gordon Voidwell),14/15
134,Peanut Butter And Swelly (Official Mixtape),Chiddy Bang,Www.Djleak.Com,320000,85,Www.Djleak.Com,Www.Djleak.Com,2011,,Www.Djleak.Com,Hip-Hop,180.773875,,,Www.Djleak.Com,When You've Got Music (Ft. The Knocks),15/15
135,Wzrd,Wzrd,,320000,,,,2012,,,Rock,173.195,,,Wzrd,The Arrival,1
136,Wzrd,Wzrd,,320000,,,,2012,,,Rock,313.23745,,,Wzrd,High Off Life,2
137,Wzrd,Wzrd,,320000,,,,2012,,,Rock,287.4546,,,Wzrd,The Dream Time Machine,3
138,Wzrd,Wzrd,,320000,,,,2012,,,Rock,277.658675,,,Wzrd,Love Hard,4
139,Wzrd,Wzrd,,320000,,,,2012,,,Rock,274.628475,,,Wzrd,Live & Learn,5
140,Wzrd,Wzrd,,320000,,,,2012,,,Rock,304.251325,,,Wzrd,Brake,6
141,Wzrd,Wzrd,,320000,,,,2012,1,,Rock,255.06275,,,Wzrd,Where Did You Sleep Last Night?,8
142,Wzrd,Wzrd,,320000,,,,2012,1,,Rock,267.73215,,,Wzrd,Efflictim,9
143,Wzrd,Wzrd,,320000,,,,2012,1,,Rock,254.096225,,,Wzrd,Dr. Pill,10
144,Wzrd,Wzrd,,320000,,J. Bruce/P. Brown,,2012,1,,Rock,192.395,,,Wzrd,Upper Room,11
145,Wzrd,Wzrd,,320000,,John Padgett,,2012,7,,Rock,238.553375,,,Wzrd,"Teleport 2 Me, Jamie",7
146,Ocean Avenue,Yellowcard,,192000,,Peter Mosely/Yellowcard,,2003,,,Punk Rock,198.35520833333334,,Toshiba EMI,Yellowcard,Ocean Avenue,3
147,Paper Walls,Yellowcard,,192000,,,,2007,,,Rock,178.52933333333334,,Capitol,Yellowcard,Fighting,1
